PLR_ID,District,Neighborhood,Postcode,Total_Population,Seniors_65plus,Senior_Share_%,Widowhood_%,Good_Housing_%,Lead_Score,Priority,Recommended_Action
06400841,Steglitz-Zehlendorf,Wannsee / Nikolassee,14109-14129,6241,2064,33.1,11.1,100.0,72.9,ORANGE – High,Contact care support centers + church communities
05400945,Spandau,Staaken / Westerwaldstr.,13591-13593,3628,1302,35.9,8.2,93.7,72.7,ORANGE – High,Contact care support centers + church communities
12400720,Reinickendorf,Märkisches Viertel,13435-13439,8415,2833,33.7,8.3,100.0,72.1,ORANGE – High,Contact care support centers + church communities
05200634,Spandau,Spandau Neustadt,13583,4374,1709,39.1,9.3,0.4,69.8,ORANGE – High,Contact care support centers + church communities
04200205,Charlottenburg-Wilmersdorf,Charlottenburg North,10585-10629,2527,741,29.3,8.6,100.0,69.8,ORANGE – High,Contact care support centers + church communities
03300517,Pankow,Weißensee South,13086-13088,1050,356,33.9,9.4,0.0,69.5,ORANGE – High,Contact care support centers + church communities
05400944,Spandau,Staaken / Westerwaldstr.,13591-13593,2187,829,37.9,8.0,48.2,69.4,ORANGE – High,Contact care support centers + church communities
09401433,Treptow-Koepenick,Schmöckwitz,12527,4207,1586,37.7,12.0,0.1,69.4,ORANGE – High,Contact care support centers + church communities
06400838,Steglitz-Zehlendorf,Wannsee / Nikolassee,14109-14129,7367,2401,32.6,7.2,99.9,68.4,ORANGE – High,Contact care support centers + church communities
04400831,Charlottenburg-Wilmersdorf,Halensee,10709-10711,1522,492,32.3,7.1,99.8,68.1,ORANGE – High,Contact care support centers + church communities
03601449,Pankow,French Buchholz,13156,9954,3381,34.0,11.5,19.7,67.4,ORANGE – High,Contact care support centers + church communities
09501737,Treptow-Koepenick,Friedrichshagen,12587,14353,4098,28.6,9.1,89.3,67.0,ORANGE – High,Contact care support centers + church communities
06300528,Steglitz-Zehlendorf,Lichterfelde East,12203-12209,10951,3621,33.1,9.8,39.8,66.7,ORANGE – High,Contact care support centers + church communities
04400729,Charlottenburg-Wilmersdorf,Grunewald,14193-14199,2819,877,31.1,7.6,99.8,66.5,ORANGE – High,Contact care support centers + church communities
12400721,Reinickendorf,Märkisches Viertel,13435-13439,7894,2388,30.3,7.6,87.2,65.9,ORANGE – High,Contact care support centers + church communities
06400839,Steglitz-Zehlendorf,Wannsee / Nikolassee,14109-14129,5408,1628,30.1,7.2,100.0,65.8,ORANGE – High,Contact care support centers + church communities
06400735,Steglitz-Zehlendorf,Zehlendorf Central,14163-14169,10057,3037,30.2,7.3,96.1,65.6,ORANGE – High,Contact care support centers + church communities
04400832,Charlottenburg-Wilmersdorf,Halensee,10709-10711,6972,2145,30.8,7.0,100.0,65.1,ORANGE – High,Contact care support centers + church communities
06400840,Steglitz-Zehlendorf,Wannsee / Nikolassee,14109-14129,7082,2086,29.5,6.6,100.0,64.4,GREEN – Medium,Build SEO content + social media channels
06100101,Steglitz-Zehlendorf,Steglitz,12161-12169,6899,2051,29.7,7.7,98.2,64.3,GREEN – Medium,Build SEO content + social media channels
09401431,Treptow-Koepenick,Schmöckwitz,12527,6101,2146,35.2,11.6,0.0,64.2,GREEN – Medium,Build SEO content + social media channels
09401330,Treptow-Koepenick,Grünau,12527-12529,1889,546,28.9,6.2,97.4,63.8,GREEN – Medium,Build SEO content + social media channels
04501150,Charlottenburg-Wilmersdorf,Kurfürstendamm South,10707-10719,3010,901,29.9,7.9,100.0,63.8,GREEN – Medium,Build SEO content + social media channels
05200419,Spandau,Haselhorst,13599,1634,519,31.8,9.5,0.0,63.6,GREEN – Medium,Build SEO content + social media channels
12400723,Reinickendorf,Märkisches Viertel,13435-13439,8078,2511,31.1,7.6,55.8,62.6,GREEN – Medium,Build SEO content + social media channels
12400722,Reinickendorf,Märkisches Viertel,13435-13439,8352,2602,31.2,7.4,49.3,62.4,GREEN – Medium,Build SEO content + social media channels
04200310,Charlottenburg-Wilmersdorf,Charlottenburg Central,10585-10627,7499,2223,29.6,7.1,100.0,62.0,GREEN – Medium,Build SEO content + social media channels
12500926,Reinickendorf,Frohnau,13465,5193,1634,31.5,11.0,0.0,61.9,GREEN – Medium,Build SEO content + social media channels
06300634,Steglitz-Zehlendorf,Lichterfelde West / South,12203-12207,8287,2407,29.0,6.8,89.1,61.6,GREEN – Medium,Build SEO content + social media channels
04400834,Charlottenburg-Wilmersdorf,Halensee,10709-10711,3350,958,28.6,6.4,95.5,61.4,GREEN – Medium,Build SEO content + social media channels
04200204,Charlottenburg-Wilmersdorf,Charlottenburg North,10585-10629,3567,1049,29.4,9.2,100.0,61.4,GREEN – Medium,Build SEO content + social media channels
12200515,Reinickendorf,Heiligensee,13503,11434,3315,29.0,9.5,47.6,61.1,GREEN – Medium,Build SEO content + social media channels
05400942,Spandau,Staaken / Westerwaldstr.,13591-13593,3684,1193,32.4,7.6,23.1,61.0,GREEN – Medium,Build SEO content + social media channels
06400844,Steglitz-Zehlendorf,Wannsee / Nikolassee,14109-14129,7210,2069,28.7,6.8,93.5,60.6,GREEN – Medium,Build SEO content + social media channels
04400728,Charlottenburg-Wilmersdorf,Grunewald,14193-14199,3189,917,28.8,6.1,100.0,60.5,GREEN – Medium,Build SEO content + social media channels
04200206,Charlottenburg-Wilmersdorf,Charlottenburg North,10585-10629,2839,767,27.0,6.2,100.0,60.1,GREEN – Medium,Build SEO content + social media channels
06400736,Steglitz-Zehlendorf,Zehlendorf Central,14163-14169,5153,1514,29.4,6.7,73.4,60.1,GREEN – Medium,Build SEO content + social media channels
08200728,Neukoelln,Johannisthal / Rudow West,12487-12355,1197,372,31.1,8.9,0.0,59.7,GREEN – Medium,Build SEO content + social media channels
10400940,Marzahn-Hellersdorf,Biesdorf,12683-12685,5816,1710,29.4,6.0,38.3,59.6,GREEN – Medium,Build SEO content + social media channels
06400737,Steglitz-Zehlendorf,Zehlendorf Central,14163-14169,10844,3000,27.7,6.8,99.5,59.6,GREEN – Medium,Build SEO content + social media channels
04400835,Charlottenburg-Wilmersdorf,Halensee,10709-10711,10098,2762,27.4,6.1,98.4,59.5,GREEN – Medium,Build SEO content + social media channels
04400726,Charlottenburg-Wilmersdorf,Grunewald,14193-14199,5432,1513,27.9,6.5,96.2,59.4,GREEN – Medium,Build SEO content + social media channels
12601031,Reinickendorf,Waidmannslust,13469,3369,1050,31.2,8.8,0.0,59.1,GREEN – Medium,Build SEO content + social media channels
04400833,Charlottenburg-Wilmersdorf,Halensee,10709-10711,3895,1349,34.6,7.5,0.0,58.5,GREEN – Medium,Build SEO content + social media channels
04501044,Charlottenburg-Wilmersdorf,Kurfürstendamm North,10707-10719,5334,1442,27.0,7.0,100.0,58.4,GREEN – Medium,Build SEO content + social media channels
09301227,Treptow-Koepenick,Müggelheim,12559,1851,575,31.1,7.6,0.0,58.4,GREEN – Medium,Build SEO content + social media channels
04300415,Charlottenburg-Wilmersdorf,Wilmersdorf West,10707-10719,6343,1789,28.2,6.0,98.5,58.3,GREEN – Medium,Build SEO content + social media channels
06200421,Steglitz-Zehlendorf,Marienfelde North,12277,8492,2402,28.3,7.4,58.4,58.0,GREEN – Medium,Build SEO content + social media channels
07501134,Tempelhof-Schoeneberg,Lichterfelde North,12203,10618,3271,30.8,9.5,0.0,58.0,GREEN – Medium,Build SEO content + social media channels
09502043,Treptow-Koepenick,Spindlersfeld,12439,9144,2759,30.2,9.0,0.3,57.8,GREEN – Medium,Build SEO content + social media channels
